bussiness_name,advice1,advice2,zipcode,city,id,page,1_star,2_star,3_star,4_star,5_star,stars
Moe's Tavern & Grill,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
On the flipside, the fries were excellent, and some of the 
 To serve a sandwich with hardly any substance (this thing was anemic) and then charge such an insane price 
 We got bruschetta that didn't taste very 
These sentences will affect the decrease of business stars:
That being said, if you want to 
 Other than that, there's really no reason to 
 Other than that, there's really no 
",53703.0,Madison,11,1,1,5,2,1,0,2.5
Uno Pizzeria & Grill,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  Pizza and salads were really 
 Apparently there was some confusion about what was listed on the menu they 
 Food was your typical UNO's experience, if you have never been to an Uno's try the deep dish pizza it is pretty 
These sentences will affect the decrease of business stars:
I was staying in town to break up a drive 
 Fortunately I was able to call and speak to a 
  30 minutes go by, still no pizza and I need to get 
",53718.0,Madison,12,1,20,11,16,24,15,3.0
Carl's Cakes,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
We were so happy that we chose Carl's Cakes as one of our wedding vendors.
  Our guests loved the flavors, both at the wedding and as leftovers!
 We ordered a cake for our recent wedding in Madison.
These sentences will affect the decrease of business stars:
 Carl was very easy to work with, and he took great notes during our tasting (not every wedding vendor we worked with was good about doing this).
  Generally, if I don't like an owner, then no mat
  Generally, if I don't like an owner, then no matter how 
",53590.0,Madison,13,1,3,2,6,4,17,4.0
New Seoul Korean,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
  Id definitely recommend the chicken bulgogi and the pork bokum.
  The food here is really good, but the service could be better.
 If you ever need more flavor or 
These sentences will affect the decrease of business stars:
  The food here is really good, but the service could be better.
  I wish they had more, but the 
The servings were on the large 
",53717.0,Madison,14,1,3,4,11,24,27,4.0
Oriental Wok,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  (Suggest they ask your level of spice when 
) I'd say this is above average Chinese food for the area, and a 
 The food is always excellent and huge 
These sentences will affect the decrease of business stars:
  (Suggest they ask your level of spice when 
  Hot & spicy chicken also had a rich flavor, with plenty of 
  Nice to have another good alternative to Hong Kong Café, which is where I 
",53715.0,Madison,15,1,4,5,3,4,3,3.0
Bonfyre American Grille,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 It was truly wonderful--all around including the 
  The flavors, peppers, spice in the Jambalaya were very well balanced though, a bit on the ""low heat"" side for me.
  I appreciate the owner feedback and had meant to get back sooner.
These sentences will affect the decrease of business stars:
  I appreciate the owner feedback and had meant to get back sooner.
  It wasn't bad - not ""hover-bot"" but, put it this way, we KNEW he was paying attention to us and wanted us to enjoy the food.
it's been quite a while since my last review.
",53713.0,Madison,16,1,28,35,45,87,54,3.5
Mr. Brews Taphouse All American Burgers,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 There burgers are great too obviously cuz it's a burger joint.
Wow the selection of beers on tap is amazing.
The food choices desperately need to be expanded and improved upon, but I will give them credit in a few 
These sentences will affect the decrease of business stars:
  Beer selection was great, bartender complemented 
 They got the classics like spotted cow and leinenkugels and ur major brewers but then they got soooo many others!
  From chocolate porters, to dogfish ipas, to belgian ales, you'll find your favorites and 
",53717.0,Madison,17,1,8,8,22,28,35,4.0
Monty's Blue Plate Diner,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 And if that wasn't enough carbs for you, it comes with a generous helping of fried potatoe
 I loved that they had homemade pies & cakes lining the glass display cases.
Have to add my voice to the chorus of MBP lover
These sentences will affect the decrease of business stars:
Even though I had takeout, I really loved the inside of Monty's- it reminded me of the diners back home in New Jersey.
 Would definitely go back here, and would like to 
 A touch pricey for a ""diner"" but worth it one we were 
",53704.0,Madison,18,1,13,37,64,199,221,4.0
Osaka House,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 It's small but cute and the two tofu dishes they have (hibachi and teriyaki, if I recall correctly) are very 
The sushi here is pretty darn good!
 Our friend ordered dumplings and he knew something wasn't right by how 
These sentences will affect the decrease of business stars:
 The place is a little rickety.
  Didn't have filet to make hibachi, sushi average, first time we left zero tip at a sit down 
  Didn't have filet to make hibachi, sushi average, 
",53703.0,Madison,19,1,11,10,4,7,5,2.5
The University Club,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 It is a pricy place but the food is 
  The near perfect lunch lost a star however, on two points:  the bread in the basket, had a slightly anomalous taste to it, like it had been sitting in the back of the freezer for a couple years.
We hosted our rehearsal dinner here and had a great time.
These sentences will affect the decrease of business stars:
 The lunch ambiance was more elegant with a 
 The advertisement offered a champagne toast, roasted rack of lamb (4 chops were shown in the picture) an appetizer and a lucious looking 
 The advertisement offered a champagne toast, roasted rack of 
",53703.0,Madison,20,1,1,0,2,2,4,4.0
Ancora Coffee,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  I've tried at least 3 different versions and they were all fantastic!
  The coffee is great (love the house dark roast) and the grilled cheese sandwiches are worth every calorie!
This always struck me as the most Madison of all Madison Coffee shops.
These sentences will affect the decrease of business stars:
 The beans are a little on the pr
 The line was relatively short, which was good because I was ready for my coffee!
 Ancora makes their own beans, too, which are a regular standby in my house.
",53703.0,Madison,21,1,3,2,9,22,38,4.0
Johnson Public House,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 The coffee is stellar and the baristas are friendly.
 Great quality of food and drinks, you really can't go wrong with anything they've got.
 I really like the ambiance - it seems like one of my friend's eclectic living rooms.
These sentences will affect the decrease of business stars:
 They seem to be able to deal with your choice of trendy gadgets: Chemex, vacuum, or pour-
""Sunday morning rain is fallingSteal some c
  To a place, I have found the end resulted (1) expensive and (2) 
",53703.0,Madison,22,1,4,13,13,46,90,4.0
McDonald's,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 fast forward a week later and I'm cleaning out my car and find the cup.
 So it's around 3:00pm and we drive through the drive through.
 The employees don't seem too happy here and I've had a few occasions in the 
These sentences will affect the decrease of business stars:
 When I went back to Ask to exchange for fresh fries, the 
 AND I had to wait 5 minutes to 
 I do have to say I called the store was told to come back and 
",53558.0,McFarland,23,1,12,0,1,0,0,2.0
TGI Fridays,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 The fried green beans were as good as back home and my steak was cooked just as ordered for the sizzling steak and spinach.
 Aka a full price single simply doubled, which, as a 
  Waiters are generally really good, and their stripes card gets you free chips and salsa,  as well as points for free food and desserts.
These sentences will affect the decrease of business stars:
 After expressing our concerns, the manager came over and was no
  Yeah its a chain but they seem to do it right.
  Jack Daniels is ok for a bar, but STOP putting it on everything.
",53704.0,Madison,24,1,7,7,8,8,5,3.0
Taco Bell,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 I left my phone number and email address so they could talk to me about the problem and after more than 3 weeks I haven't heard a thing from them.
We just had one of the best fast food experiences ever at this restaurant!
  I am happy to have some variety and my son usually places an 
These sentences will affect the decrease of business stars:
 I left my phone number and email address so they could talk to me about the problem and after more than 3 weeks I haven't heard a thing from them.
We just had one of the best fast food experiences ever at this restaurant!
  I am happy to have some variety and my son usually places an order for taco's with meat only and it takes some effort for them to ring it in but they are friendly about it and once the order is placed it does come out al
",53589.0,Stoughton,25,1,5,1,1,0,2,2.0
Chipotle Mexican Grill,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 They are very generous with the cheese - which is one of the 
 I've gotta say I like this chain, I like their appeal to values like ethical farming, free range  and organic foods, and paying 
 The mouth watering steak, the killer salsas (I 
These sentences will affect the decrease of business stars:
 This is absolutely insane and no way to run a chipotle.
 There are 2 people on the line, one cashier.
 This has clearly been addressed in other reviews before, so why has management done nothing? It's a shame that this horrible service encourages customers to walk out when seeing a long line rather than waiting.
",53703.0,Madison,26,1,2,4,6,14,15,4.0
Crave Restaurant & Lounge,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
This is a good place to stop if you're looking for a ""trendy"" bar & restaurant in Madison.
There are always good looking people here, and the cosmos are 3 bucks (WHAT!
This bar will forever go down in history for being the location where my inappropriate friendship with KCF began.
These sentences will affect the decrease of business stars:
 The martini list is nice - the Hug (with fresh mango, orange juice and plenty of rum) was my favorite.
This is a good place to stop if you're looking for a ""trendy"" bar & restaurant in Madison.
 I'll probably be back - just after 11pm next 
",53703.0,Madison,27,1,1,0,1,5,1,3.5
Mad Dogs Eatery,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 My personal favorite is the Bacon Cheese Dog that 
  It isn't the best place I have ever eaten, but the bacon cheddar clown dog is excellent.
These sentences will affect the decrease of business stars:
After eating at Mad Dogs, my only 
After eating at Mad Dogs, my only comment is: Ugh, Chicago-style 
 I also tried a bbq pork sandwich, very lean meat and good sweet flavor.
",53703.0,Madison,28,1,2,2,5,7,2,3.5
Glass Nickel Pizza,It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
  The staff was fairly friendly on the phone, pizza came in the delivery estimate time.
I wasn't planning on commenting on quality of food, but since other's have been experiencing the same issues.
I just tried to order a pizza for delivery and got a phone call from the general manager saying that they don't deliver to where I live in DeForest.
These sentences will affect the decrease of business stars:
  The day after we moved in, we decided to order Glass Nickel to eat while unpacking.
  The staff was fairly friendly on the phone, pizza came in the delivery estimate time.
I wasn't planning on commenting on quality of food, but since other's have been experiencing the same issues.
",53590.0,Sun Prairie,29,1,14,9,5,11,2,2.5
China Wok,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 If you want cheap chinese delivery that is edible, then I guess this 
  We've had Chinese food all over the country, including Chinatown in San Francisco, and we think the food here is just 
 I only give it a 4 instead of a 5 because if i find something better(very un
These sentences will affect the decrease of business stars:
 A lot of vegetables and good flavor!
 Not too greasy and all the food we 
 Not too greasy and all the food we order is very 
",53562.0,Middleton,30,1,5,5,6,3,5,3.0
Hong Kong Station,It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
Yummy food- I recommend hanging duck and bbq pork- the crispy pork on appetizer menu is 
Hong Kong station dinning experience overall was 
 The food was really good it had 
These sentences will affect the decrease of business stars:
  fav dish was this thing called tofu and eight treasures- 
 They were having a family dinner in the middle of the 
 We were struggling so much to 
",53711.0,Madison,31,2,7,8,7,21,10,3.5
State Street Brats,It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
Everytime I'm in town I hit this place for curds, beer and brats.
 I spent a whole Sunday watching football here and had a blast.
)  Service can sometimes be suspect there, but we had a great experience there yesterday.
These sentences will affect the decrease of business stars:
  The person who took our order offered to run our food upstairs to us, and even refilled our water and lemonade pitchers with a smile.
  Expect the typical bar fare, brats, wings, 
except the time that guy started randomly video-taping me and my girl
",53703.0,Madison,32,2,39,29,61,51,23,3.0
What's Brew'n In Sun Prairie,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 This is probably my favorite place to get 
 It had flavor and was presented nicely on the plate.
 ** I worked at a Pizza Hut in my youth and sent many an evil eye at people walking in five minutes before close, wanting to order 
These sentences will affect the decrease of business stars:
 I got a caramel steamer with soy and it was tasty as anything.
 I had half an hour so I knew I'd be fine, but you know how sometimes the staff is obviously peeved when people come in close to closing time? **Well, that did not happen.
 I would like to go more often but to 
",53590.0,Sun Prairie,33,2,0,0,2,10,4,4.0
Lulu's 13 Pub,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.,"These sentences will affect the increase of business stars:
 I probably wouldn't have ordered it if I had known it was some kind of hybrid 
 Unusually light and crispy - a bit different - but 
 They have a large menu and the staff is really friendly.
These sentences will affect the decrease of business stars:
 My tater tots were actually really tasty, but I feel kind of ch
  Its a good new spot just nothing real special based on first vi
Food was good, the portions matched the price and the service was excellent.
",53704.0,Madison,34,2,6,4,15,8,15,3.5
Elie's Family Restaurant and Banquet,Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.,"These sentences will affect the increase of business stars:
 You know, this is the kind of food I cannot do often, it's so heavy and rich, but when I'm in the mood this is a great place to go!
I've never had a wait (even on the weekend), everything is cooked in butter, the waitresses are nice and treat you like family.
  This is very much a family style 
These sentences will affect the decrease of business stars:
The only two saving graces: A surprisingly decent 
Ellie and Vebi know how to run a restaurant and treat their customer's amazing.
  Literally lost my lunch, if you 
",53716.0,Madison,35,2,4,0,0,9,9,4.0
Willy Street Co-op - West,Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. ,"These sentences will affect the increase of business stars:
 They had some fresh bagels, their cheese 
We've been shopping at the co-op for about 8 years (maybe longer?) and while we still do a rotating circuit for our groceries that involves Costco, Woodman's, Trader Joe's, and the co-op (and farmer's market when in season), the co-op is 
We've been shopping at the co-op for about 8 years (maybe longer?) and while we still do a rotating circuit for our groceries that involves Costco, Woodman's, Trader Joe's, and the co-op (and farmer's market when in season), the co-op is great and I am so thankful that they're both on the East and West sides so it's easy to 
These sentences will affect the decrease of business stars:
 In fact, if I lived here, I would prefer to shop here, the products are more appealing, they are focusing on Madison items, and if you shopped at Whole Foods, Trader Joe's and then the Co-op, who needs Metcalfe's? They better keep that free paper 
 If I didn't already have a full time job, I 
The store is always clean, and the employees are quite possibly the nicest 
",53562.0,Middleton,36,2,3,2,1,18,28,4.5
