Bussiness_name	advice	city	zipcode	stars
Moe's Tavern & Grill	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	2.5
Uno Pizzeria & Grill	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53718	3
Carl's Cakes	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53590	4
New Seoul Korean	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53717	4
Oriental Wok	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53715	3
Bonfyre American Grille	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53713	3.5
Mr. Brews Taphouse All American Burgers	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53717	4
Monty's Blue Plate Diner	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53704	4
Osaka House	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	2.5
The University Club	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
Ancora Coffee	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
Johnson Public House	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
McDonald's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	McFarland	53558	2
TGI Fridays	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53704	3
Taco Bell	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Stoughton	53589	2
Chipotle Mexican Grill	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	4
Crave Restaurant & Lounge	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	3.5
Mad Dogs Eatery	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53703	3.5
Glass Nickel Pizza	It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	2.5
China Wok	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Middleton	53562	3
Hong Kong Station	It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3.5
State Street Brats	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	3
What's Brew'n In Sun Prairie	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	4
Lulu's 13 Pub	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53704	3.5
Elie's Family Restaurant and Banquet	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53716	4
Willy Street Co-op - West	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Middleton	53562	4.5
Sweet Home Wisconsin	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53715	4.5
Fazoli's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53704	2
Papa John's Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53719	2.5
My Sister's Kitchen	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Middleton	53562	4
Nick's Restaurant	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	3.5
New Orleans Take-Out	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53704	4
The Sow's Ear	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Verona	53593	4.5
Zam Zam Catering & Mobile Cuisine	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53715	3.5
Nora's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Deerfield	53531	2
Paco's Tacos	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Stoughton	53589	4
Francisco's Mexican Cantina	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	3.5
Morris Ramen	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
MadisonTap	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4.5
Victor Allen's Coffee & Tea	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53719	4.5
Fiesta Cancun	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	3.5
McDonald's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Sun Prairie	53590	1.5
Ladonia Cafe	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53703	5
Fleming's Prime Steakhouse & Wine Bar	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53705	3.5
Los Gemelos	It is nice to provide street parking. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	3.5
Relish Deli & Market	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	4.5
Palis Cafe	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53715	2.5
Potbelly Sandwich Shop	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53719	3
KFC	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	1.5
Salvatore's Tomato Pies	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	4.5
The Firehouse Bar & Grill	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Mount Horeb	53572	3.5
The Statehouse	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Madison	53703	2.5
Jamerica Food Cart	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53715	3
Gray's Tied House	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Verona	53593	3.5
Sí Café	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4.5
Canteen	It is nice to provide street parking. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
Smoky Jon's No 1 BBQ	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53704	4
Jacobson Bros Meats & Deli	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Stoughton	53589	3
Spartan Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. Please provide free wifi in your bussiness.	Mc Farland	53558	4
Schlotzsky's Deli	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Madison	53704	3.5
Estrellón	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53703	4
That BBQ Joint	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.Please provide free wifi in your bussiness.	Madison	53703	4
Everly	Providing street parking can help you raise about 0.4 stars. Your bussiness does good in dinner meal. Your custormers love to have meal outside. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is really helpful.It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53711	4
Subway	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Sun Prairie	53590	3
Tuscany Mediterranean Grill	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Bike parking is a nice service. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Fitchburg	53711	3
McDonald's	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. Your customer would like some alcohol in your bussiness.	Middleton	53562	2.5
The Red Zone Madison	It is nice to provide street parking. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. The noise level in your bussiness is too loud and it decrease your bussiness review about 0.2-0.6 stars. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53715	3.5
Rosati's Authentic Chicago Pizza	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53704	3
Chicken Shack	Providing street parking can help you raise about 0.4 stars. Improving dinner sevice can help you raise about 0.2 stars. Outdoor seating is another way to improve your stars for about 0.2 stars. Your customer need place to park their bikes. It can help improve about 0.2 stars. Your customers are satisfied with the noise level in your bussiness. Providing wheel chair accessible is a good option to increase your star for about 0.2 stars. It is nice to provide alcohol and it does make your customer satisfied. 	Madison	53719	3.5
